-2 10 35 2 13 
48 1 20 70 21 
39 67 28 39 5 
18 59 52 3 20 
43 65 34 36 15 

30 53 49 39 2 
22 59 70 15 57 
-2 37 -11 59 33 
58 33 45 10 -1 
19 59 65 31 2 

4 21 65 27 55 
58 28 7 42 67 
44 50 47 51 28 
59 60 25 37 -9 
27 13 28 -1 65 

60 31 30 61 -9 
39 19 44 39 45 
62 16 14 -7 12 
15 60 29 70 9 
55 16 6 27 22 

61 -5 -6 18 14 
32 5 23 58 40 
8 -2 -4 38 37 
61 29 51 59 52 
68 48 16 53 20 

8 3 33 56 60 
34 31 24 45 8 
66 29 44 25 41 
1 52 31 23 39 
62 -1 50 60 58 

50 0 4 17 50 
19 68 18 12 40 
57 20 63 -9 55 
39 13 32 -13 12 
7 17 18 45 66 

22 5 31 56 18 
35 36 29 56 0 
36 38 26 11 26 
13 58 54 44 24 
-13 48 67 50 4 

62 57 4 30 48 
-5 42 27 64 9 
44 51 58 68 4 
17 56 68 59 61 
63 14 24 47 44 

43 17 23 55 44 
-2 7 43 11 34 
53 12 28 62 48 
58 26 3 41 9 
60 7 60 58 53 

14 70 55 48 27 
47 48 64 50 37 
18 0 -6 27 1 
64 -3 32 33 29 
14 22 33 60 60 

0 46 12 29 9 
40 25 65 42 72 
1 49 31 11 41 
20 34 39 62 54 
32 29 59 68 33 

7 52 48 16 12 
13 30 21 62 -1 
-1 -3 46 58 9 
26 32 40 52 56 
26 47 63 27 25 

46 10 36 53 0 
73 39 37 61 3 
26 3 49 43 13 
45 7 15 -7 31 
20 -3 11 55 67 

48 57 50 62 -4 
0 44 60 36 41 
14 1 21 38 48 
37 60 49 34 9 
62 20 10 45 5 

42 -4 30 43 58 
5 5 -11 64 33 
43 10 56 52 68 
56 22 7 59 54 
45 26 40 12 11 

26 9 37 41 17 
6 29 66 25 58 
51 45 8 60 59 
53 60 16 44 -8 
36 3 6 67 22 

7 39 -1 42 43 
11 17 54 4 53 
46 40 39 34 -2 
57 26 22 33 13 
53 36 23 28 0 

7 38 9 60 45 
-1 55 29 -1 19 
15 32 23 47 -8 
39 -4 44 65 4 
34 64 12 16 38 

48 25 67 6 -11 
10 46 38 58 23 
55 22 28 -3 3 
-6 17 11 19 47 
27 2 37 23 60 

37 5 19 58 -1 
6 18 33 0 53 
40 37 49 44 60 
26 50 58 8 41 
57 64 5 59 43 

45 38 15 41 39 
33 12 66 53 48 
44 10 12 34 55 
29 45 -4 61 31 
57 14 21 1 19 

-3 51 29 67 19 
25 36 0 5 -9 
62 34 -6 40 43 
42 28 58 52 7 
46 63 59 68 5 

21 54 39 31 42 
16 45 52 -1 37 
18 24 33 71 10 
47 15 38 5 24 
36 68 -2 11 58 

67 44 35 9 43 
45 54 25 13 17 
34 68 -4 56 45 
5 13 28 60 71 
69 61 63 7 -4 

48 25 54 45 8 
14 4 31 47 28 
40 66 53 54 36 
50 22 61 72 54 
55 48 29 9 36 

40 58 61 9 0 
15 24 3 11 21 
46 -4 62 32 14 
-9 7 13 49 41 
0 23 41 49 42 

58 41 26 70 37 
2 37 43 55 8 
46 20 -12 21 41 
2 49 47 11 13 
5 25 1 41 37 

17 -6 6 -7 21 
56 53 62 50 27 
68 -2 28 17 8 
20 60 54 14 3 
16 51 9 42 0 

31 68 40 16 -2 
12 38 32 22 -2 
-2 37 3 32 65 
22 8 32 12 31 
58 66 -4 17 7 

-6 13 56 21 9 
29 40 -4 23 42 
36 36 22 11 17 
22 -1 -5 55 29 
13 -2 15 -7 52 

63 -7 22 54 -1 
-14 36 18 7 33 
48 38 57 4 32 
51 24 33 2 31 
50 3 -1 48 1 

18 38 7 26 63 
6 3 7 -2 45 
1 28 24 42 9 
36 12 23 23 45 
60 -5 31 69 57 

-4 2 71 53 0 
35 41 42 15 46 
41 25 25 17 17 
29 18 10 63 -1 
11 65 11 29 37 

37 22 30 55 12 
66 32 5 31 20 
36 8 59 30 1 
56 16 -1 20 40 
-1 57 15 14 53 

31 20 4 -3 21 
58 7 15 15 32 
55 9 9 34 27 
9 47 52 44 57 
38 23 23 8 16 

47 3 43 -7 21 
29 65 38 56 51 
10 25 39 35 48 
71 24 19 53 41 
17 58 19 52 60 

40 2 2 25 66 
42 -4 27 37 15 
23 34 57 53 42 
7 71 51 47 56 
-6 33 20 20 70 

28 -12 33 -6 38 
62 71 -11 60 45 
57 -6 38 51 63 
23 8 11 31 38 
46 44 37 -11 71 

63 31 54 -5 10 
31 46 52 1 64 
7 23 21 1 35 
53 34 17 62 8 
53 10 41 6 49 

31 20 26 65 12 
-5 39 0 6 39 
37 28 63 15 -9 
44 27 62 37 58 
44 31 65 8 30 

32 26 18 35 15 
34 27 16 16 58 
57 25 71 38 38 
65 50 17 35 13 
12 47 57 50 26 

12 9 24 46 8 
48 53 45 20 25 
-12 -7 -2 17 1 
44 19 10 36 0 
52 34 73 10 33 

2 -2 67 18 38 
57 27 30 46 29 
